log_id,name,url,invokeTime,formattedResponse,functionInitialLoad,functionInnertime,msSinceFunctionLoad,firstRun,serverStart,serverEnd,serverDifference
23,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909200005,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909200498,4,true,1710909200005,1710909200502,497
24,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909210004,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:33:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909210244,9750,false,1710909210004,1710909210227,223
25,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909220004,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:33:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909220263,19769,false,1710909220004,1710909220245,241
26,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909230002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:33:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909230149,29655,false,1710909230002,1710909230132,130
27,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909240005,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909240222,39728,false,1710909240005,1710909240194,189
28,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909240018,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909240478,4,true,1710909240018,1710909240441,423
29,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909250002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:34:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909250172,49678,false,1710909250002,1710909250143,141
30,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909260003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:34:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909260172,59678,false,1710909260003,1710909260132,129
31,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909270003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:34:30 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909270152,69658,false,1710909270003,1710909270114,111
32,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909280001,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:34:40 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909280216,79722,false,1710909280001,1710909280176,175
33,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909290004,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:34:50 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909290170,89676,false,1710909290004,1710909290129,125
34,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909300003,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:00 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909300189,99695,false,1710909300003,1710909300147,144
35,2. Every 1 Minute,https://lbg4c1fym5.execute-api.us-west-2.amazonaws.com/default/1M,1710909300020,This function initially loaded at Wed Mar 20 2024 04:34:00 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:00 GMT+0000 (Coordinated Universal Time).,1710909240474,1710909300336,59862,false,1710909300020,1710909300296,276
36,3. Every 5 Minutes,https://c74aqg48s2.execute-api.us-west-2.amazonaws.com/default/5M,1710909300030,This function initially loaded at Wed Mar 20 2024 04:35:01 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:01 GMT+0000 (Coordinated Universal Time).,1710909301023,1710909301027,4,true,1710909300030,1710909301018,988
37,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909310005,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:10 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909310156,109662,false,1710909310005,1710909310116,111
38,1. Every 10 Seconds,https://4uze95sn78.execute-api.us-west-2.amazonaws.com/default/10S,1710909320002,This function initially loaded at Wed Mar 20 2024 04:33:20 GMT+0000 (Coordinated Universal Time). This function ran at Wed Mar 20 2024 04:35:20 GMT+0000 (Coordinated Universal Time).,1710909200494,1710909320143,119649,false,1710909320002,1710909320103,101
